"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009266","response to temperature stimulus","16/865","167/28905",0.0958083832335329,3.20155065591361,5.01137233773394,4.47418328490808e-05,0.00125143971760613,0.000983423243324407,"15511/193740/17762/15502/15519/81489/233781/15507/228432/16889/15516/16000/270190/237253/18413/22227",16
"GO:0015711","organic anion transport","30/865","451/28905",0.0665188470066519,2.22280609563847,4.59697588711229,4.55019842326557e-05,0.00126517055567603,0.000994213395753075,"18782/28250/18126/21366/20527/18212/12286/18442/18173/102680/225579/19156/56857/72401/18784/30805/54140/240726/14080/19218/16513/16181/20608/75497/20186/20521/20533/114644/245128/57394",30
"GO:0002693","positive regulation of cellular extravasation","6/865","23/28905",0.260869565217391,8.71726564463433,6.5029701332617,4.60579908183245e-05,0.00127039996444945,0.000998322840310627,"114332/84094/19204/17242/20296/19218",6
"GO:0019722","calcium-mediated signaling","19/865","223/28905",0.0852017937219731,2.84711889888281,4.86340672511905,4.62307712110779e-05,0.00127039996444945,0.000998322840310627,"12267/17762/12774/83433/14125/18212/67888/16000/20344/56743/26424/56644/54140/70261/333050/100504518/227288/12777/12771",19
"GO:0032612","interleukin-1 production","14/865","134/28905",0.104477611940299,3.49124320593564,5.07678850420435,5.13750390383478e-05,0.00140355411884417,0.00110295983443405,"12774/22418/83433/14728/16193/15507/11433/16000/15951/380797/56644/637515/13653/20186",14
"GO:0042026","protein refolding","6/865","24/28905",0.25,8.35404624277457,6.33029409908402,5.98603158960265e-05,0.00162591690401982,0.00127769995840134,"15511/193740/15481/15502/15519/15507",6
"GO:0030888","regulation of B cell proliferation","10/865","73/28905",0.136986301369863,4.57755958508195,5.3753771956905,6.17734983139976e-05,0.00166823947458319,0.00131095845181793,"16019/217303/12578/14130/57916/208154/69816/380797/22163/12477",10
"GO:0051346","negative regulation of hydrolase activity","24/865","329/28905",0.0729483282674772,2.43765483071841,4.60627520597369,6.24291674398936e-05,0.00167631233028606,0.00131730237220539,"15511/235505/18787/192200/19049/15951/20716/13012/238393/213945/209351/20713/55948/14080/232345/16199/16625/14938/217847/71869/628900/21857/385643/17940",24
"GO:0015698","inorganic anion transport","15/865","154/28905",0.0974025974025974,3.25482321147061,4.92770162645267,6.34745269230198e-05,0.0016946977387004,0.00133175024190164,"228432/20856/18173/12354/19886/21819/114479/56857/64654/14404/233246/20379/229933/171286/20533",15
"GO:0007269","neurotransmitter secretion","16/865","174/28905",0.0919540229885057,3.07275264102053,4.81664627344152,7.33476354414833e-05,0.00193629516258163,0.00152160558917045,"20965/18751/19894/18166/18212/12286/109648/18442/67847/18190/12290/208898/20964/27062/12287/116837",16
"GO:0099643","signal release from synapse","16/865","174/28905",0.0919540229885057,3.07275264102053,4.81664627344152,7.33476354414833e-05,0.00193629516258163,0.00152160558917045,"20965/18751/19894/18166/18212/12286/109648/18442/67847/18190/12290/208898/20964/27062/12287/116837",16
"GO:0055074","calcium ion homeostasis","25/865","354/28905",0.0706214689265537,2.35990006858039,4.5216400618123,7.46545109820536e-05,0.0019597851793557,0.00154006483107935,"12774/17918/22418/18751/14126/18166/20307/109648/20856/18442/14065/20750/12061/20296/14724/15945/64654/19228/17329/12478/16591/268878/116903/329693/80982",25
"GO:0030316","osteoclast differentiation","14/865","139/28905",0.100719424460432,3.36565891795234,4.91041065452985,7.67797815772735e-05,0.00200437885350894,0.00157510803376068,"235505/83433/18729/100038909/14728/18733/22402/80752/18722/20308/18725/13386/100041146/16160",14
