"X","ID","Gene.name","logFC","logCPM","LR","PValue","entrezgene_id"
15311,"ENSMUSG00000050520","Cldn8",-0.0412454749740127,3.0108190083264,0.0207373266286854,0.885496832269629,54420
15312,"ENSMUSG00000002489","Tiam1",0.027070819647542,5.39767685301879,0.0207957679969475,0.885336714694738,21844
15313,"ENSMUSG00000022982","Sod1",0.0758267571057781,8.25657683154326,0.213842539062512,0.643772188165783,20655
15314,"ENSMUSG00000022983","Scaf4",-0.0574929301943376,5.74214584160098,0.122442363283115,0.726400499014177,224432
15315,"ENSMUSG00000053414","Hunk",0.279322014684521,4.02542296187317,1.59050924512434,0.207253391990946,26559
15316,"ENSMUSG00000022978","Mis18a",0.142529594332262,3.35261733930886,0.299170775391935,0.584402737657841,66578
15317,"ENSMUSG00000039956","Mrap",-0.132824132471325,1.29911673291099,0.0733528928537295,0.786516099704993,77037
15318,"ENSMUSG00000039929","Urb1",0.0849345860628457,4.04562193433177,0.160800196592219,0.688420861448666,207932
15319,"ENSMUSG00000039903","Eva1c",0.0169928544452369,4.10613344119562,0.00664233688998223,0.935043900965535,70967
15320,"ENSMUSG00000022972","1110004E09Rik",0.251174333022466,5.22591420383897,1.83362073602213,0.175700480187493,NA
15321,"ENSMUSG00000022973","Synj1",-0.102520313635643,6.31215743325623,0.424997026970426,0.514454097967815,104015
15322,"ENSMUSG00000087354","4930404I05Rik",1.12540681985925,-0.166913680841436,3.21898644135865,0.0727886868907692,67394
15323,"ENSMUSG00000022974","Paxbp1",0.0805740305381707,5.1830738292344,0.162376327206828,0.686978047400687,67367
15324,"ENSMUSG00000039851","4932438H23Rik",-0.218782319030076,-0.528498933047735,0.151486068145426,0.697119244381861,74387
15325,"ENSMUSG00000022971","Ifnar2",0.080104689003826,6.10314661651567,0.250402359041116,0.616791906500676,15976
15326,"ENSMUSG00000022969","Il10rb",0.143770539131586,6.26602818517082,0.824047460442826,0.36399943501157,16155
15327,"ENSMUSG00000084866","A930006K02Rik",1.16814002534583,-0.397201902287939,3.27816670694612,0.07020731198327,100503120
15328,"ENSMUSG00000022967","Ifnar1",0.072037693074116,6.5698140739582,0.211698553446418,0.645439340313067,15975
15329,"ENSMUSG00000022965","Ifngr2",0.100093516660868,5.89087397193512,0.343050693535673,0.558073574661548,15980
15330,"ENSMUSG00000022964","Tmem50b",-0.0733192443936705,7.13588830188235,0.222790818544437,0.636921632994911,77975
