"gene1","module1","EntrezID"
"ENSMUSG00000070469","turquoise","269959"
"ENSMUSG00000015709","turquoise","11864"
"ENSMUSG00000030562","turquoise","50490"
"ENSMUSG00000061119","turquoise","72461"
"ENSMUSG00000048078","turquoise","23966"
"ENSMUSG00000030737","turquoise","101488"
"ENSMUSG00000051048","turquoise","320452"
"ENSMUSG00000048779","turquoise","233571"
"ENSMUSG00000032860","turquoise","18442"
"ENSMUSG00000043366","turquoise","170639"
"ENSMUSG00000037060","turquoise","109042"
"ENSMUSG00000031016","turquoise","22390"
"ENSMUSG00000005611","turquoise","17540"
"ENSMUSG00000030772","turquoise","50781"
"ENSMUSG00000030671","turquoise","18576"
"ENSMUSG00000030657","turquoise","233781"
"ENSMUSG00000030650","turquoise","74424"
"ENSMUSG00000030954","turquoise","67133"
"ENSMUSG00000052889","turquoise","18751"
"ENSMUSG00000030683","turquoise","233878"
"ENSMUSG00000030789","turquoise","16411"
"ENSMUSG00000030862","turquoise","55987"
"ENSMUSG00000054555","turquoise","11489"
"ENSMUSG00000010476","turquoise","13593"
"ENSMUSG00000025473","turquoise","11501"
"ENSMUSG00000054672","turquoise","244234"
"ENSMUSG00000025498","turquoise","54123"
"ENSMUSG00000025511","turquoise","64540"
"ENSMUSG00000066108","turquoise","74180"
"ENSMUSG00000007891","turquoise","13033"
"ENSMUSG00000045362","turquoise","244237"
"ENSMUSG00000037613","turquoise","79201"
"ENSMUSG00000048965","turquoise","244238"
"ENSMUSG00000058454","turquoise","13360"
"ENSMUSG00000070348","turquoise","12443"
"ENSMUSG00000048677","turquoise","233979"
"ENSMUSG00000040675","turquoise","270685"
"ENSMUSG00000079685","turquoise","77777"
"ENSMUSG00000019796","turquoise","237253"
"ENSMUSG00000019806","turquoise","66253"
"ENSMUSG00000019970","turquoise","20393"
"ENSMUSG00000019997","turquoise","14219"
"ENSMUSG00000037370","turquoise","18605"
"ENSMUSG00000039031","turquoise","73910"
"ENSMUSG00000019899","turquoise","16773"
"ENSMUSG00000039697","turquoise","211329"
"ENSMUSG00000019846","turquoise","16775"
"ENSMUSG00000038481","turquoise","78334"
"ENSMUSG00000062593","turquoise","14728"
"ENSMUSG00000019874","turquoise","12140"
"ENSMUSG00000020108","turquoise","74747"
"ENSMUSG00000058297","turquoise","94214"
"ENSMUSG00000004207","turquoise","19156"
"ENSMUSG00000020100","turquoise","71279"
"ENSMUSG00000020099","turquoise","107449"
"ENSMUSG00000020097","turquoise","20397"
"ENSMUSG00000037868","turquoise","13654"
"ENSMUSG00000037855","turquoise","216049"
"ENSMUSG00000019947","turquoise","71371"
"ENSMUSG00000060044","turquoise","327766"
"ENSMUSG00000006344","turquoise","23887"
"ENSMUSG00000006342","turquoise","71733"
"ENSMUSG00000009092","turquoise","70377"
"ENSMUSG00000001435","turquoise","12822"
"ENSMUSG00000020262","turquoise","110532"
"ENSMUSG00000000290","turquoise","16414"
"ENSMUSG00000005054","turquoise","13014"
"ENSMUSG00000004933","turquoise","17179"
"ENSMUSG00000034854","turquoise","73822"
"ENSMUSG00000034591","turquoise","338365"
