"Gene_ID","PC1_Loading","PC2_Loading","Gene_Name","PC1_Direction","PC2_Direction"
"ENSMUSG00000042628",0.00893744552277502,0.00160754435635189,"Zfyve1","Positive","Positive"
"ENSMUSG00000029386",0.00893737648392035,0.00123314024970139,"Tctn2","Positive","Positive"
"ENSMUSG00000025575",0.00893715453818424,0.00147496622823146,"Cant1","Positive","Positive"
"ENSMUSG00000028161",0.00893706725533276,0.000279244104638417,"Ppp3ca","Positive","Positive"
"ENSMUSG00000019254",0.00893705074482121,0.000182982326422048,"Ppp1r12c","Positive","Positive"
"ENSMUSG00000039354",0.00893688639168957,-0.00050873290678039,"Smarcal1","Positive","Negative"
"ENSMUSG00000046201",0.00893686952662567,-0.000545502854424001,"Scaf8","Positive","Negative"
"ENSMUSG00000033499",0.00893679502951381,-0.000676609721656555,"Larp4b","Positive","Negative"
"ENSMUSG00000060450",0.00893678413367829,0.00267976948338597,"Rnf14","Positive","Positive"
"ENSMUSG00000038206",0.0089367085505239,-0.000351379131240483,"Fbxo8","Positive","Negative"
"ENSMUSG00000017221",0.00893664969470567,0.000801630613293944,"Psmd3","Positive","Positive"
"ENSMUSG00000013593",0.00893659823833033,-0.00015647965458934,"Ndufs2","Positive","Negative"
"ENSMUSG00000034931",0.0089363297073894,-0.000134801747258782,"Dhx8","Positive","Negative"
"ENSMUSG00000026289",0.00893628446378476,-0.00117278745275682,"Atg16l1","Positive","Negative"
"ENSMUSG00000030530",0.00893626633024165,0.00197155852331684,"Furin","Positive","Positive"
"ENSMUSG00000037174",0.00893623162262067,-0.00237350293869656,"Elf2","Positive","Negative"
"ENSMUSG00000058291",0.00893619128360312,-0.00163403863894407,"Zfp68","Positive","Negative"
"ENSMUSG00000046020",0.00893611238612971,-0.00144154531035671,"Pofut1","Positive","Negative"
"ENSMUSG00000022463",0.00893601499299044,-0.000225333208373473,"Srebf2","Positive","Negative"
"ENSMUSG00000018932",0.00893601485086289,0.000233396123083411,"Map2k3","Positive","Positive"
"ENSMUSG00000040365",0.00893587935212817,0.000166570740876818,"Trim41","Positive","Positive"
"ENSMUSG00000028700",0.00893582094577566,-3.98766842758567e-05,"Pomgnt1","Positive","Negative"
"ENSMUSG00000006024",0.00893566765695668,0.000722738813588085,"Napa","Positive","Positive"
"ENSMUSG00000025139",0.00893552383723609,0.00240515760679205,"Tollip","Positive","Positive"
"ENSMUSG00000040396",0.00893481155649217,0.00127050528430798,"Abhd13","Positive","Positive"
"ENSMUSG00000028800",0.00893455772188615,-0.00137313432748186,"Hdac1","Positive","Negative"
"ENSMUSG00000024507",0.00893389826860486,0.00162560964974349,"Hsd17b4","Positive","Positive"
"ENSMUSG00000034432",0.0089338942521347,-0.000585348552396081,"Cops8","Positive","Negative"
"ENSMUSG00000056820",0.00893362972036346,0.000723344827079607,"Tsnax","Positive","Positive"
"ENSMUSG00000025907",0.00893323191679302,0.00118975061521643,"Rb1cc1","Positive","Positive"
"ENSMUSG00000024242",0.00893311424755702,0.000601152846900312,"Map4k3","Positive","Positive"
"ENSMUSG00000038324",0.00893303014177069,0.00130816647196566,"Trpc4ap","Positive","Positive"
"ENSMUSG00000026965",0.00893297686340746,-0.000686188659770525,"Anapc2","Positive","Negative"
"ENSMUSG00000031622",0.00893278914020264,0.000893817000218334,"Sin3b","Positive","Positive"
"ENSMUSG00000022139",0.00893254979640049,0.000717933077608654,"Mbnl2","Positive","Positive"
"ENSMUSG00000025354",0.00893240719952907,-0.00058077036231557,"Dnajc14","Positive","Negative"
"ENSMUSG00000038844",0.00893226588782934,0.00113261163844056,"Kif16b","Positive","Positive"
"ENSMUSG00000025236",0.00893161747432398,0.00208101863599338,"Adpgk","Positive","Positive"
"ENSMUSG00000028879",0.00893146874552605,0.00244685287575344,"Stx12","Positive","Positive"
"ENSMUSG00000053510",0.00893137632427317,0.000349649986823468,"Nrd1","Positive","Positive"
"ENSMUSG00000038235",0.00893134274786951,-3.69909439525307e-05,"F11r","Positive","Negative"
"ENSMUSG00000053929",0.00893132884778446,-0.00140398296986802,"Cyhr1","Positive","Negative"
"ENSMUSG00000068882",0.00893103440995595,0.00121386037127648,"Ssb","Positive","Positive"
"ENSMUSG00000025421",0.0089307519417759,-0.000135475343718819,"Hdhd2","Positive","Negative"
"ENSMUSG00000024816",0.00893075076684305,-1.26084768583648e-05,"Frmd8","Positive","Negative"
"ENSMUSG00000020457",0.00893036859219248,0.000719907224976888,"Drg1","Positive","Positive"
"ENSMUSG00000000399",0.00893032077722653,0.000474640658293692,"Ndufa9","Positive","Positive"
"ENSMUSG00000026150",0.00893030830049196,-0.000726009010984997,"Mff","Positive","Negative"
"ENSMUSG00000091512",0.00893014574652644,0.00162873355042312,"Lamtor3","Positive","Positive"
"ENSMUSG00000039630",0.00893004823529066,-0.00241991482565688,"Hnrnpu","Positive","Negative"
"ENSMUSG00000072501",0.00892995790327242,-0.000130964592033471,"Phf20l1","Positive","Negative"
"ENSMUSG00000043964",0.00892989412506756,0.000297355268631532,"Orai3","Positive","Positive"
"ENSMUSG00000024277",0.00892978871447768,0.000693986074787423,"Mapre2","Positive","Positive"
"ENSMUSG00000027598",0.00892967506965284,0.000308412120620393,"Itch","Positive","Positive"
"ENSMUSG00000035443",0.00892953427240236,0.00127036356467781,"Thyn1","Positive","Positive"
"ENSMUSG00000050229",0.00892933173462029,-0.00277392740419867,"Pigm","Positive","Negative"
"ENSMUSG00000026275",0.00892929104444217,-0.000121283618728741,"Ppp1r7","Positive","Negative"
"ENSMUSG00000052428",0.00892920333235541,0.00070692204494352,"Tmco1","Positive","Positive"
"ENSMUSG00000038806",0.00892862991582897,-0.00103439704814507,"Sde2","Positive","Negative"
"ENSMUSG00000029319",0.00892858807288364,-0.00238039216141132,"Coq2","Positive","Negative"
"ENSMUSG00000002957",0.00892842472574708,0.000457243777188882,"Ap2a2","Positive","Positive"
"ENSMUSG00000015149",0.00892829195887084,-0.000881261993441389,"Sirt2","Positive","Negative"
"ENSMUSG00000001924",0.00892822342823674,0.000695373116578506,"Uba1","Positive","Positive"
"ENSMUSG00000038416",0.00892807537678245,0.000699089049032209,"Cdc16","Positive","Positive"
"ENSMUSG00000032312",0.00892756839896969,-0.00249552734590326,"Csk","Positive","Negative"
"ENSMUSG00000024095",0.00892752472986769,0.00112441978948697,"Hnrnpll","Positive","Positive"
"ENSMUSG00000023960",0.00892744896471126,0.00195846398873673,"Enpp5","Positive","Positive"
"ENSMUSG00000021360",0.00892707119560682,0.00235621764491364,"Gcnt2","Positive","Positive"
"ENSMUSG00000007656",0.00892706284428409,-0.000396709834322751,"Arpp19","Positive","Negative"
"ENSMUSG00000032612",0.00892697271793769,0.000391841161595622,"Usp4","Positive","Positive"
"ENSMUSG00000028096",0.00892686750331997,0.00101225744417275,"Gpr89","Positive","Positive"
"ENSMUSG00000039917",0.00892685939275996,0.00112263883333536,"Rhbdd2","Positive","Positive"
"ENSMUSG00000032514",0.00892665793096883,0.000176055106226195,"Ttc21a","Positive","Positive"
"ENSMUSG00000028180",0.00892658348992758,-0.000231467807944965,"Zranb2","Positive","Negative"
"ENSMUSG00000037075",0.00892653099200233,-0.00168105557779875,"Rnf139","Positive","Negative"
"ENSMUSG00000068921",0.00892644013567986,-0.00232260872424905,"Dap3","Positive","Negative"
"ENSMUSG00000034118",0.00892639748892435,-0.00148087076154804,"Tpst1","Positive","Negative"
"ENSMUSG00000057554",0.00892632133802153,0.00182379980126755,"Lgals8","Positive","Positive"
"ENSMUSG00000031701",0.00892627450633973,0.00228982539782371,"Dnaja2","Positive","Positive"
"ENSMUSG00000040034",0.00892618236226336,0.00105337864013297,"Nup43","Positive","Positive"
"ENSMUSG00000074238",0.00892603583769764,-0.0021098080431631,"Ap1ar","Positive","Negative"
"ENSMUSG00000024782",0.00892594917056403,0.0012457319372283,"Ak3","Positive","Positive"
"ENSMUSG00000031774",0.00892589844565393,-6.99681328995738e-05,"Fam192a","Positive","Negative"
"ENSMUSG00000070738",0.0089258696800032,0.000773069582705869,"Dgkd","Positive","Positive"
"ENSMUSG00000025583",0.00892568060515136,0.00197524058400446,"Rptor","Positive","Positive"
"ENSMUSG00000030917",0.00892562542460774,-0.000215880969941105,"Tmem159","Positive","Negative"
"ENSMUSG00000036327",0.00892554263736537,0.00144680560787364,"Qsox2","Positive","Positive"
"ENSMUSG00000040242",0.00892551048467063,-0.00196312397437492,"Fgfr1op2","Positive","Negative"
"ENSMUSG00000063065",0.00892543017362375,-0.0013577162271201,"Mapk3","Positive","Negative"
"ENSMUSG00000045767",0.00892515476725027,-0.000522150474954882,"B230219D22Rik","Positive","Negative"
"ENSMUSG00000030868",0.00892484862000192,0.00114742568322877,"Dctn5","Positive","Positive"
