"X","ID","Gene.name","logFC","logCPM","LR","PValue"
9221,"ENSMUSG00000093800","Gm20796",1.44409683058359,1.49915379953254,8.38363052144536,0.00378615378490762
9245,"ENSMUSG00000037492","Zmat4",1.37377842198911,1.3341606024977,6.42090257266889,0.0112784825295429
9286,"ENSMUSG00000039661","Dusp26",2.67640971603831,-0.279468338247172,12.427353041635,0.000423091128706683
9377,"ENSMUSG00000110397","Gm45540",1.22806119947283,1.74807316898771,3.92969270905044,0.0474406122752254
9397,"ENSMUSG00000053626","Tll1",1.06219574728143,3.03031572953196,9.03919896882581,0.00264251399530014
9408,"ENSMUSG00000030735","Gm9755",1.77496909250399,-0.93741585654867,4.64308190929026,0.0311789620939656
9475,"ENSMUSG00000110575","6330537M06Rik",1.13758977589377,0.0565168563896566,4.15764823601958,0.0414469137461973
9505,"ENSMUSG00000043243","Fam129c",1.04493571425083,1.56496380401609,6.88899019762773,0.00867282482537048
9523,"ENSMUSG00000062007","Hsh2d",1.18159087270532,0.691236996734527,4.92614219359871,0.0264533098346955
9762,"ENSMUSG00000050097","Ces2b",1.10616467468414,1.1022933416547,4.17962086480812,0.0409128522224034
10087,"ENSMUSG00000068697","Myoz1",4.64602640928415,0.927747556487817,3.99098497724613,0.0457443157914802
10101,"ENSMUSG00000021768","Dusp13",2.50776169564009,-0.761551565847516,7.64925350859984,0.00567958187600237
10107,"ENSMUSG00000103160","C130012C08Rik",1.33616461509757,0.939425225022529,8.23739694278542,0.00410359428065422
10196,"ENSMUSG00000043681","Fam25c",5.07567522552101,0.961453964730437,4.04310542477882,0.0443521362314301
10205,"ENSMUSG00000037833","Sh2d4b",1.20534503291757,-0.123826277932098,3.87134742108294,0.0491170744464514
10231,"ENSMUSG00000086746","Gm15222",1.03783365485717,1.30837491397451,4.93659940035369,0.0262937185668991
10355,"ENSMUSG00000022157","Mcpt8",2.07287788782252,-0.961237561189621,4.59555352891828,0.0320549904146926
10368,"ENSMUSG00000046352","Gjb2",1.06663128942418,2.7770063320105,4.88621639405255,0.0270719523070949
10418,"ENSMUSG00000014453","Blk",1.16012343848327,2.75165240656184,13.0932826864173,0.00029635656066276
10499,"ENSMUSG00000034959","Rubcnl",1.35249453849815,1.95364147328042,14.160094664595,0.000167893835204466
10554,"ENSMUSG00000048349","Pou4f1",1.52609759938211,-0.565171545495229,5.83054514355082,0.015750242050986
10622,"ENSMUSG00000031870","Pgr",1.49897405624901,1.95189869754966,11.4032179018797,0.000733169982603428
10666,"ENSMUSG00000032172","Olfm2",1.95722604089987,2.28533711011592,7.72705700189972,0.00543993471592484
10720,"ENSMUSG00000110757","Gm18228",1.65640116883929,-0.906465219181793,5.07030524072089,0.0243390974543719
10788,"ENSMUSG00000001943","Vsig2",1.03314468715568,4.44459212831457,6.85266704731465,0.00885090502040079
