"gene","kMEblue","kMEbrown","kMEgreen","kMEgrey","kMEred","kMEturquoise","kMEyellow","Gene.name","EntrezID"
"ENSMUSG00000040722",-0.96545778137716,-0.293374096720267,-0.365718582128673,0.061362492986081,-0.130179911241685,0.961708247134393,-0.398670034338433,"Scamp5","56807"
"ENSMUSG00000040747",-0.90552543140147,-0.0641981776188904,-0.536391735058571,0.196238391416971,0.127754960434617,0.894217465947318,-0.453430295574194,"Cd53","12508"
"ENSMUSG00000040751",-0.889121874770383,-0.196334223861374,-0.481756996070525,0.176598284526651,0.11486713895719,0.909751142116999,-0.532085508280644,"Lat2","56743"
"ENSMUSG00000040950",-0.744238384716283,-0.208453733384871,0.106848450627207,-0.408917884185398,-0.41969187580165,0.814053632385496,-0.622579427259987,"Mgl2","216864"
"ENSMUSG00000041046",-0.721685509352812,-0.316898054145102,0.156271569475989,-0.440242600486358,-0.562523806310388,0.803505570862753,-0.474534068926484,"Ramp3","56089"
"ENSMUSG00000041193",-0.868489156881463,-0.154543677521998,-0.24626501762911,-0.0190182089116234,-0.125544240219175,0.889557294293049,-0.536211096467738,"Pla2g5","18784"
"ENSMUSG00000041202",-0.929755674129048,-0.252954369229755,-0.245647771596262,-0.0712100137033493,-0.127639245571001,0.961938367914853,-0.64471945264307,"Pla2g2d","18782"
"ENSMUSG00000041324",-0.936208839246613,-0.221013023377562,-0.273657600722085,-0.00862961296298678,-0.131710328715348,0.943335938186121,-0.586929814261525,"Inhba","16323"
"ENSMUSG00000041445",-0.915379014722421,-0.0973849706629191,-0.466473631737332,0.171365978538523,0.0248326438357659,0.900857157737407,-0.463266035301927,"Mmrn2","105450"
"ENSMUSG00000041559",-0.805531837218336,-0.167156176408377,-0.0293216830957684,-0.216127421564469,-0.293633393716625,0.847170454215279,-0.479515881563027,"Fmod","14264"
"ENSMUSG00000041633",-0.959482968670565,-0.188499333874485,-0.388478672754353,0.0902043213780787,-0.0792319607742891,0.961407779246349,-0.527329759331355,"Kctd12b","207474"
"ENSMUSG00000041654",-0.951937811107048,-0.163528067143573,-0.385388827465273,0.12261254386898,-0.0824676204011996,0.921572341107156,-0.290512790020084,"Slc39a11","69806"
"ENSMUSG00000041797",-0.755846040078362,-0.189832305722752,-0.0392150726226304,-0.195830446746649,-0.184149372862231,0.805026436763696,-0.76864220893906,"Abca9","217262"
"ENSMUSG00000041801",-0.782446815255778,-0.243315488891164,0.217815740248996,-0.532889126643387,-0.530230783210214,0.866087714987774,-0.643747961969489,"Phlda3","27280"
"ENSMUSG00000042116",-0.931583085585236,-0.124839060401122,-0.140278171989142,-0.161295785520155,-0.326616320341267,0.923846079815533,-0.414531315469866,"Vwa1","246228"
"ENSMUSG00000042425",-0.883201159423138,-0.438636559544867,-0.200524586017697,-0.065997438000546,-0.245414759570656,0.889386709327515,-0.421644519093341,"Frmpd3","245643"
"ENSMUSG00000043017",-0.953092450905192,-0.0919210292614644,-0.334909098572511,0.0165313351011734,-0.0730347273272237,0.961409863316469,-0.559728569267901,"Ptgir","19222"
"ENSMUSG00000043157",-0.907989418517519,-0.166292516680838,-0.313710435109599,0.024391903984481,-0.169093429904331,0.907507959456944,-0.352741174887828,"Arl11","219144"
"ENSMUSG00000043366",-0.879486573178422,-0.106891773544019,-0.131690440270007,-0.141259145589272,-0.212769988061654,0.9038511873827,-0.695810944269239,"Olfr78",NA
"ENSMUSG00000043613",-0.776454587694104,-0.204491557383732,0.11116319588293,-0.361376761808055,-0.375272026680392,0.843406559825584,-0.730215331682108,"Mmp3","17392"
"ENSMUSG00000043740",-0.891701747311443,-0.209196277108116,-0.445240034460138,0.155399581552537,0.0322361326050302,0.912860637520768,-0.502216135035232,"B430306N03Rik",NA
"ENSMUSG00000043885",-0.920926320015269,-0.203757322457272,-0.367509051369603,0.0377403011965523,-0.00972202660339484,0.939783201020391,-0.629031454322394,"Slc36a4","234967"
"ENSMUSG00000044017",-0.847202093952233,-0.0721350218309646,-0.180290584295686,-0.142331013268014,-0.125615565001621,0.882355164242765,-0.757562246074006,"Adgrd1","243277"
"ENSMUSG00000044303",-0.915919795144413,-0.268799017790081,-0.102681080228355,-0.183974496051395,-0.293584261842683,0.936239540472524,-0.436928571525977,"Cdkn2a","12578"
"ENSMUSG00000044708",-0.860869016589971,-0.0133673388694195,-0.183613870488664,-0.130571813073573,-0.185974898699741,0.908226959120231,-0.619199256994365,"Kcnj10","16513"
"ENSMUSG00000044811",-0.930167611393764,-0.218995662854186,-0.304934435676218,0.0329928130751855,-0.211038592879044,0.91732629284926,-0.348828360497001,"Cd300c2","140497"
"ENSMUSG00000044968",-0.909991919777164,-0.0757310562253954,-0.27194355618931,-0.0663342493720176,-0.194439178239264,0.912282647582382,-0.495719467300078,"Napepld","242864"
"ENSMUSG00000045034",-0.839253921648951,-0.514300390798617,-0.148538964394588,-0.0468237663875838,-0.305888648284268,0.847326703575788,-0.279066866016534,"Ankrd34b","218440"
"ENSMUSG00000045062",-0.833337974715751,-0.231636677639679,-0.324489937005166,0.0306995829856641,-0.0618648810658882,0.831853867686775,-0.612410921653604,"Pcdhb7","93878"
"ENSMUSG00000045201",-0.919701951940836,-0.154628330503574,-0.398243680939015,0.148757255538253,-0.109484792367604,0.88599013656425,-0.407143115477036,"Lrrc3b","218763"
"ENSMUSG00000045312",-0.952800553428215,-0.217748078941209,-0.181071133188273,-0.0872879412745207,-0.256481294293671,0.964399163442355,-0.45808168126554,"Lhfpl2","218454"
"ENSMUSG00000045326",-0.881398799269131,-0.235716993779695,-0.0484101445878957,-0.304595315211227,-0.364889827978967,0.933940668972124,-0.622033684973911,"Fndc7","320181"
"ENSMUSG00000045333",-0.855488408531161,-0.155394636682534,-0.00390058210574891,-0.303937758552719,-0.415059156534562,0.899892362335941,-0.607386819903281,"Zfp423","94187"
"ENSMUSG00000045362",-0.906778202518223,-0.0950644620452009,-0.512685761925494,0.257473011167509,0.0746882953829903,0.85604107996581,-0.284023050661315,"Tnfrsf26","244237"
"ENSMUSG00000045498",-0.795465790242425,-0.344969912521051,-0.0633435997735743,-0.158376350230922,-0.249795669099134,0.853849874776168,-0.565015514990488,"Pcdhb3","93874"
"ENSMUSG00000045594",-0.957705703971667,-0.152145517793655,-0.473974789162464,0.233267548491651,0.0647752308145045,0.91913830846524,-0.365695086821898,"Glb1","12091"
"ENSMUSG00000045679",-0.94488213498294,-0.124552472494348,-0.337820384794262,-0.0175256235787565,-0.107983701360901,0.956653039074493,-0.58035675692612,"Pqlc3",NA
"ENSMUSG00000045763",-0.857994441735056,-0.387902678601727,0.0943131306092635,-0.316127708378308,-0.422295158798357,0.895375769078171,-0.441729687857656,"Basp1","70350"
"ENSMUSG00000046186",-0.962793889247501,-0.0799106164455448,-0.251624740072696,-0.088948347633217,-0.164578298616275,0.983067328272466,-0.626330729747311,"Cd109","235505"
"ENSMUSG00000046805",-0.949752766313605,-0.211359881898926,-0.342286043959551,0.0813268606025655,-0.150385537543855,0.930604309185367,-0.37687560372363,"Mpeg1","17476"
"ENSMUSG00000046997",-0.928302376947064,-0.223821595410549,-0.311022899974032,0.00278495330625341,-0.099083475251663,0.946263331324412,-0.553985846340975,"Spsb4","211949"
"ENSMUSG00000047330",-0.837829544419835,-0.101783298799428,-0.457553294239716,0.126861138445357,0.0520345705221454,0.855574162022581,-0.518947492150883,"Kcne4","57814"
"ENSMUSG00000047496",-0.824380048432789,-0.198228966357072,-0.364886766937069,0.103476006789625,-0.015526686604904,0.836592876065005,-0.638930597906429,"Rnf152","320311"
