"gene1","module1","X88","X89","X90","X92","X93","X94","X97","X99","X101","X103","X104","X105","X108","X109","X110","Gene.name","EntrezID"
"ENSMUSG00000030878","blue",982,894,782,835,592,622,1411,653,1139,477,484,492,1299,633,1263,"Cdr2","12585"
"ENSMUSG00000030717","blue",2864,2063,2469,2263,1549,1634,3396,1934,2646,1594,1737,1600,3318,1959,2716,"Nupr1","56312"
"ENSMUSG00000030711","blue",819,700,984,818,552,723,1539,665,772,551,734,568,976,850,1000,"Sult1a1","20887"
"ENSMUSG00000025488","blue",160,124,130,138,81,180,294,62,192,62,75,75,188,72,236,"Cox8b","12869"
"ENSMUSG00000037664","blue",994,786,949,785,589,601,1211,635,731,490,525,561,1049,694,857,"Cdkn1c","12577"
"ENSMUSG00000019762","blue",194,164,129,205,110,119,302,95,111,65,108,68,188,83,154,"Iyd","70337"
"ENSMUSG00000038587","blue",7896,6542,5404,7025,5569,6389,12954,8116,8319,3508,4431,5391,9966,6134,9966,"Akap12","83397"
"ENSMUSG00000045680","blue",2704,2276,2498,3106,2250,2639,4850,2343,3405,1994,1877,1525,3755,2218,3729,"Tcf21","21412"
"ENSMUSG00000047669","blue",324,276,335,459,376,236,537,204,329,366,313,331,449,240,374,"Msl3l2","73390"
"ENSMUSG00000037202","blue",84,137,102,130,76,98,146,73,143,75,64,56,84,37,97,"Prf1","18646"
"ENSMUSG00000020069","blue",1334,1190,1282,1293,1147,1003,2033,955,1228,821,987,1051,1445,1074,1882,"Hnrnph3","432467"
"ENSMUSG00000069601","blue",2334,2263,1900,2345,2154,1781,3068,1667,2349,1549,1701,1985,2842,2157,2538,"Ank3","11735"
"ENSMUSG00000037762","blue",1656,1378,1491,2338,1245,1543,2946,1350,1541,1100,1139,1042,1654,1127,1533,"Slc16a9","66859"
"ENSMUSG00000035697","blue",2315,1650,1634,2778,2241,2070,4356,1829,2186,1958,2005,1978,2295,1796,2807,"Arhgap45","70719"
"ENSMUSG00000044199","blue",453,379,374,556,373,356,791,293,411,336,279,268,506,229,465,"S1pr4","13611"
"ENSMUSG00000020038","blue",1113,904,649,658,616,682,1324,722,990,638,641,550,1182,722,950,"Cry1","12952"
"ENSMUSG00000019929","blue",2736,2223,2117,2979,1787,3082,4703,1652,3472,1746,1426,1564,2974,1433,2984,"Dcn","13179"
"ENSMUSG00000090665","blue",46,34,101,70,49,61,124,32,52,36,38,24,60,21,56,"Gad1-ps","382407"
"ENSMUSG00000020154","blue",26314,22489,18967,33800,23310,23287,49289,14152,24111,13390,12334,12203,24536,12875,23488,"Ptprb","19263"
"ENSMUSG00000028630","blue",798,669,550,1284,933,699,1562,586,923,821,723,704,960,699,998,"Dyrk2","69181"
"ENSMUSG00000025407","blue",102,73,53,157,118,120,225,55,79,69,76,66,76,67,124,"Gli1","14632"
"ENSMUSG00000058396","blue",1655,1319,1361,1392,983,1015,2185,741,1121,462,417,343,1093,390,696,"Gpr182","11536"
"ENSMUSG00000001300","blue",7264,6995,7157,9423,6389,7230,13553,5277,8186,3904,3661,4315,9622,4237,8219,"Efnb2","13642"
"ENSMUSG00000031442","blue",1715,1732,2782,2532,2092,1762,4025,1253,2394,1541,2256,1753,2774,2100,2916,"Mcf2l","17207"
"ENSMUSG00000038515","blue",282,309,296,447,351,390,703,204,284,181,219,155,315,157,327,"Grtp1","66790"
"ENSMUSG00000031489","blue",247,209,156,251,185,194,397,122,260,135,133,130,280,130,361,"Adrb3","11556"
"ENSMUSG00000031613","blue",9077,7331,10319,12122,7698,7791,18633,4965,8515,5804,5681,3429,8949,4271,9516,"Hpgd","15446"
"ENSMUSG00000053626","blue",144,123,125,237,134,199,336,110,116,79,92,95,126,109,160,"Tll1","21892"
"ENSMUSG00000034911","blue",2504,2165,2163,2945,2304,1877,4645,1841,2479,1588,2024,1897,2823,1965,3503,"Ushbp1","234395"
"ENSMUSG00000034845","blue",10493,8250,9689,12922,7673,8318,14780,5547,8071,4492,4571,4613,11243,4935,9522,"Plvap","84094"
"ENSMUSG00000043664","blue",411,337,390,576,355,390,738,200,363,278,227,242,383,222,425,"Tmem221","434325"
"ENSMUSG00000055148","blue",4998,4796,5441,6831,5858,6170,12637,4101,6100,2840,3732,4561,7200,4710,5739,"Klf2","16598"
"ENSMUSG00000051839","blue",63,63,18,57,33,31,101,8,34,33,9,12,39,12,26,"Gypa","14934"
"ENSMUSG00000031710","blue",98,104,76,164,124,215,316,33,168,64,50,6,130,47,245,"Ucp1","22227"
"ENSMUSG00000002885","blue",13323,10974,9479,12386,10473,8231,18278,6886,11022,7548,7121,6728,13044,6437,13051,"Adgre5","26364"
"ENSMUSG00000043668","blue",368,309,279,424,346,316,550,138,264,202,209,193,378,178,369,"Tox3","244579"
"ENSMUSG00000055368","blue",604,375,418,298,272,236,793,345,483,245,265,266,450,232,502,"Slc6a2","20538"
"ENSMUSG00000057074","blue",370,202,166,242,149,323,558,228,331,201,196,156,397,151,266,"Ces1g","12623"
"ENSMUSG00000031748","blue",1507,1361,1141,1685,1271,1199,2730,1039,1864,988,1081,895,1928,939,2050,"Gnao1","14681"
"ENSMUSG00000031775","blue",233,225,230,233,178,135,350,111,240,152,133,108,302,108,226,"Pllp","67801"
"ENSMUSG00000031778","blue",1048,945,1062,1464,936,1084,2242,760,1147,711,707,631,1307,650,1144,"Cx3cl1","20312"
"ENSMUSG00000031881","blue",436,337,332,364,409,390,520,195,294,213,196,251,353,311,303,"Cdh16","12556"
"ENSMUSG00000014846","blue",8706,5933,6423,5848,6112,6809,10773,4000,7340,5085,4594,4085,9315,4886,8825,"Tppp3","67971"
"ENSMUSG00000086390","blue",536,401,450,382,446,328,778,393,450,211,362,371,502,359,629,"1810019D21Rik","69771"
"ENSMUSG00000031825","blue",2191,2129,2055,1972,1093,1417,2709,1052,1761,894,1005,816,2459,1164,2059,"Crispld2","78892"
"ENSMUSG00000031824","blue",2374,2005,1749,2293,1980,1662,3284,1416,2156,1490,1464,1546,2603,1717,2180,"6430548M08Rik","234797"
"ENSMUSG00000097087","blue",91,102,85,132,131,89,236,37,77,51,53,52,72,33,87,"Gm26878","102636330"
"ENSMUSG00000097336","blue",2389,2200,1651,2397,1916,1424,3918,1286,1663,840,1263,1117,1801,893,2466,"Fendrr","68790"
"ENSMUSG00000042812","blue",5849,5392,6416,6360,4923,5870,12527,4780,7104,3530,3639,3864,8221,4123,7955,"Foxf1","15227"
"ENSMUSG00000006362","blue",3516,3132,2805,3615,2606,2322,5237,2148,3440,1996,1923,1769,3711,1938,3640,"Cbfa2t3","12398"
"ENSMUSG00000021750","blue",212,196,351,205,151,155,426,200,288,158,326,121,385,250,286,"Fam107a","268709"
"ENSMUSG00000023243","blue",253,300,362,246,258,426,632,326,360,123,145,166,590,235,417,"Kcnk5","16529"
"ENSMUSG00000039081","blue",1875,1442,1755,2166,1730,1444,2764,1211,1719,1678,1300,1224,1959,1150,1990,"Zfp503","218820"
"ENSMUSG00000040717","blue",1154,926,685,1359,1046,918,1850,631,1081,726,703,614,1120,644,1096,"Il17rd","171463"
"ENSMUSG00000071547","blue",832,708,688,862,634,765,1474,621,840,582,604,437,1087,751,974,"Nt5dc2","70021"
"ENSMUSG00000021904","blue",6462,5789,6139,7706,5619,5277,10920,4728,6768,3715,4019,3819,8614,4177,7410,"Sema3g","218877"
"ENSMUSG00000057606","blue",327,305,297,423,334,299,483,143,398,158,183,68,310,108,363,"Colq","382864"
"ENSMUSG00000041479","blue",381,325,377,554,347,336,683,304,392,256,219,321,324,225,358,"Syt15","319508"
"ENSMUSG00000072601","blue",766,577,826,865,739,656,1243,288,762,491,691,229,834,830,902,"Ear1","13586"
"ENSMUSG00000004558","blue",1453,1346,1365,1695,1119,1734,2397,951,1609,917,982,924,1661,997,1988,"Ndrg2","29811"
"ENSMUSG00000060373","blue",3271,2923,2926,2792,2864,2284,4268,2417,3278,2345,2173,2501,4492,2965,4600,"Hnrnpc","15381"
"ENSMUSG00000022220","blue",2373,2034,1798,2179,1775,1482,3202,1462,2040,1294,1308,1395,2617,1463,2663,"Adcy4","104110"
"ENSMUSG00000044461","blue",250,218,189,350,282,342,478,216,287,234,197,148,341,190,292,"Shisa2","219134"
"ENSMUSG00000063060","blue",1749,1477,1546,1605,1159,1088,2756,1508,2172,1150,985,964,2418,1286,2912,"Sox7","20680"
"ENSMUSG00000034522","blue",973,767,696,1113,1069,825,1402,564,774,657,604,704,890,669,964,"Zfp395","380912"
"ENSMUSG00000022032","blue",258,212,214,270,173,301,380,119,237,141,150,115,234,149,247,"Scara5","71145"
"ENSMUSG00000045875","blue",465,425,258,445,176,193,456,267,381,164,198,119,496,224,286,"Adra1a","11549"
"ENSMUSG00000022122","blue",2689,2452,2444,3692,2499,2793,5803,2374,3707,2335,2402,1815,3832,2302,3882,"Ednrb","13618"
"ENSMUSG00000022132","blue",435,327,386,415,280,307,689,249,344,224,247,200,457,236,443,"Cldn10","58187"
"ENSMUSG00000032172","blue",116,86,144,156,52,48,104,15,27,11,9,7,45,7,21,"Olfm2","244723"
"ENSMUSG00000032198","blue",2671,2628,2204,3431,2939,2367,5211,2277,2594,1983,2278,2444,3232,2311,4049,"Dock6","319899"
"ENSMUSG00000036395","blue",462,404,455,771,479,508,1121,348,688,339,301,331,595,316,496,"Glb1l2","244757"
"ENSMUSG00000032035","blue",6727,6271,5300,9446,6888,6208,12159,5113,6565,6256,5917,6238,8100,5917,9064,"Ets1","23871"
"ENSMUSG00000035934","blue",894,916,1383,1333,636,748,2383,657,1184,629,584,440,1039,600,1338,"Pknox2","208076"
